ID,Category,years_experience,education_level,certifications_count,skills_count,fit_score,fit_category
26780935,HR,0,3,0,3,60.0,Strong Fit
34554248,HR,30,4,2,2,40.0,Moderate Fit
26202430,HR,0,4,0,3,60.0,Strong Fit
19867922,HR,0,4,0,1,20.0,Weak Fit
91930382,HR,0,4,0,0,0.0,Weak Fit
30646367,HR,15,4,2,1,20.0,Weak Fit
39650734,HR,5,4,2,3,60.0,Strong Fit
72231872,HR,18,4,0,3,60.0,Strong Fit
13520837,HR,5,3,1,3,60.0,Strong Fit
18422164,HR,0,4,0,1,20.0,Weak Fit
30862904,HR,10,3,1,3,60.0,Strong Fit
52979663,HR,3,3,0,1,20.0,Weak Fit
28828844,HR,0,2,0,3,60.0,Strong Fit
21830565,HR,15,3,3,1,20.0,Weak Fit
27523575,HR,6,3,0,3,60.0,Strong Fit
39081840,HR,0,3,2,5,100.0,Strong Fit
20925036,HR,0,4,0,3,60.0,Strong Fit
15576950,HR,0,1,0,1,20.0,Weak Fit
29564653,HR,6,3,1,2,40.0,Moderate Fit
14886205,HR,0,0,2,3,60.0,Strong Fit
17412079,HR,7,4,1,2,40.0,Moderate Fit
16861758,HR,0,0,2,1,20.0,Weak Fit
93112113,HR,0,2,1,1,20.0,Weak Fit
15041689,HR,15,1,0,1,20.0,Weak Fit
80162314,HR,12,4,0,2,40.0,Moderate Fit
20993320,HR,20,4,0,2,40.0,Moderate Fit
14640322,HR,20,3,0,2,40.0,Moderate Fit
26289308,HR,0,0,1,2,40.0,Moderate Fit
23408537,HR,10,2,4,2,40.0,Moderate Fit
28808263,HR,0,3,0,3,60.0,Strong Fit
18084150,HR,0,4,1,3,60.0,Strong Fit
26671167,HR,0,1,2,2,40.0,Moderate Fit
44476983,HR,0,3,0,3,60.0,Strong Fit
16877897,HR,4,4,0,2,40.0,Moderate Fit
29091445,HR,0,2,2,1,20.0,Weak Fit
25724495,HR,5,4,0,3,60.0,Strong Fit
24508725,HR,6,4,6,3,60.0,Strong Fit
11698189,HR,0,4,0,2,40.0,Moderate Fit
27165830,HR,0,3,2,4,80.0,Strong Fit
47470864,HR,0,2,1,2,40.0,Moderate Fit
34740556,HR,8,3,0,2,40.0,Moderate Fit
18557164,HR,0,4,1,4,80.0,Strong Fit
19179079,HR,6,3,0,3,60.0,Strong Fit
13376919,HR,0,4,0,1,20.0,Weak Fit
26048718,HR,0,5,0,4,80.0,Strong Fit
17150707,HR,0,0,0,3,60.0,Strong Fit
18297650,HR,10,4,0,2,40.0,Moderate Fit
23510685,HR,10,4,0,4,80.0,Strong Fit
39970711,HR,0,4,1,2,40.0,Moderate Fit
20806155,HR,0,4,1,3,60.0,Strong Fit
28640735,HR,5,0,0,3,60.0,Strong Fit
15575117,HR,0,4,1,1,20.0,Weak Fit
27496514,HR,0,4,0,2,40.0,Moderate Fit
14256329,HR,0,1,0,3,60.0,Strong Fit
19336728,HR,0,3,1,3,60.0,Strong Fit
10694288,HR,27,3,0,3,60.0,Strong Fit
28175164,HR,5,4,3,3,60.0,Strong Fit
10399912,HR,8,3,5,1,20.0,Weak Fit
20417897,HR,0,4,2,1,20.0,Weak Fit
18731098,HR,0,4,1,3,60.0,Strong Fit
30563572,HR,0,2,3,3,60.0,Strong Fit
24402267,HR,5,4,1,1,20.0,Weak Fit
32308556,HR,0,5,0,3,60.0,Strong Fit
27847081,HR,10,3,2,3,60.0,Strong Fit
25150191,HR,0,4,0,3,60.0,Strong Fit
37058472,DESIGNER,15,3,1,3,10.3,Weak Fit
68240723,DESIGNER,0,3,1,6,20.7,Weak Fit
76010167,DESIGNER,0,3,0,6,20.7,Weak Fit
19164410,DESIGNER,0,2,0,8,27.6,Weak Fit
29147100,DESIGNER,0,3,0,9,31.0,Moderate Fit
25061645,DESIGNER,0,3,0,6,20.7,Weak Fit
11919526,DESIGNER,0,4,6,3,10.3,Weak Fit
81011612,DESIGNER,0,0,0,3,10.3,Weak Fit
11722421,DESIGNER,0,4,0,3,10.3,Weak Fit
13774329,DESIGNER,15,3,1,1,3.4,Weak Fit
35990852,DESIGNER,0,0,0,4,13.8,Weak Fit
36269672,DESIGNER,44,2,0,3,10.3,Weak Fit
90066849,DESIGNER,28,4,1,1,3.4,Weak Fit
27529455,DESIGNER,0,5,0,7,24.1,Weak Fit
85101052,DESIGNER,5,3,1,1,3.4,Weak Fit
22567495,DESIGNER,0,4,1,1,3.4,Weak Fit
10751444,DESIGNER,5,4,1,4,13.8,Weak Fit
11807040,DESIGNER,0,4,2,2,6.9,Weak Fit
12415691,DESIGNER,3,3,2,4,13.8,Weak Fit
38565119,DESIGNER,0,3,1,3,10.3,Weak Fit
21705160,DESIGNER,0,1,0,0,0.0,Weak Fit
26496059,DESIGNER,3,2,2,11,37.9,Moderate Fit
29524570,DESIGNER,0,4,2,3,10.3,Weak Fit
15936656,DESIGNER,0,0,0,0,0.0,Weak Fit
13557622,DESIGNER,0,0,0,2,6.9,Weak Fit
41506705,DESIGNER,0,2,6,6,20.7,Weak Fit
32954522,DESIGNER,20,2,2,0,0.0,Weak Fit
44185767,DESIGNER,0,4,4,3,10.3,Weak Fit
14014749,DESIGNER,0,3,0,6,20.7,Weak Fit
34349255,DESIGNER,0,2,0,2,6.9,Weak Fit
16288901,DESIGNER,0,3,0,6,20.7,Weak Fit
25422388,DESIGNER,0,3,0,11,37.9,Moderate Fit
22496394,DESIGNER,0,1,0,2,6.9,Weak Fit
38744475,DESIGNER,0,3,0,1,3.4,Weak Fit
67582956,DESIGNER,16,3,0,3,10.3,Weak Fit
26676567,DESIGNER,0,4,1,13,44.8,Moderate Fit
14724186,DESIGNER,0,1,0,4,13.8,Weak Fit
10748989,DESIGNER,0,3,1,6,20.7,Weak Fit
26924514,DESIGNER,0,4,2,4,13.8,Weak Fit
12674307,DESIGNER,0,3,0,2,6.9,Weak Fit
23951429,DESIGNER,0,0,1,4,13.8,Weak Fit
26046064,DESIGNER,14,0,0,11,37.9,Moderate Fit
28326441,DESIGNER,0,0,0,7,24.1,Weak Fit
78149576,DESIGNER,0,2,2,1,3.4,Weak Fit
17555081,DESIGNER,0,4,1,5,17.2,Weak Fit
39776400,DESIGNER,0,2,1,1,3.4,Weak Fit
37263609,DESIGNER,0,4,0,3,10.3,Weak Fit
13518263,DESIGNER,27,2,0,0,0.0,Weak Fit
11155153,DESIGNER,0,4,4,4,13.8,Weak Fit
54201930,DESIGNER,0,3,0,4,13.8,Weak Fit
10466583,DESIGNER,0,2,0,1,3.4,Weak Fit
26790545,DESIGNER,5,3,0,9,31.0,Moderate Fit
11958994,DESIGNER,0,2,0,2,6.9,Weak Fit
30968749,DESIGNER,4,3,1,7,24.1,Weak Fit
20932019,DESIGNER,0,3,0,0,0.0,Weak Fit
51681660,DESIGNER,3,4,0,3,10.3,Weak Fit
34657584,DESIGNER,0,0,0,2,6.9,Weak Fit
15471999,DESIGNER,0,2,0,4,13.8,Weak Fit
18979238,DESIGNER,0,3,1,2,6.9,Weak Fit
26622051,DESIGNER,7,2,5,5,17.2,Weak Fit
22675694,DESIGNER,0,1,0,6,20.7,Weak Fit
25023614,DESIGNER,0,0,1,3,10.3,Weak Fit
20390397,DESIGNER,0,4,1,3,10.3,Weak Fit
17199951,DESIGNER,0,4,0,4,13.8,Weak Fit
14743911,DESIGNER,0,4,5,1,3.4,Weak Fit
24455357,DESIGNER,0,0,0,3,10.3,Weak Fit
91153752,DESIGNER,0,4,3,8,27.6,Weak Fit
14528265,DESIGNER,0,1,8,1,3.4,Weak Fit
18460045,DESIGNER,0,0,0,4,13.8,Weak Fit
20986595,DESIGNER,0,4,0,6,20.7,Weak Fit
20748926,DESIGNER,0,2,1,1,3.4,Weak Fit
32532982,DESIGNER,40,0,0,1,3.4,Weak Fit
34317538,DESIGNER,20,5,0,5,17.2,Weak Fit
19195747,DESIGNER,0,2,1,1,3.4,Weak Fit
12547982,DESIGNER,0,3,1,2,6.9,Weak Fit
94417768,DESIGNER,0,2,0,2,6.9,Weak Fit
24655918,DESIGNER,30,2,0,8,27.6,Weak Fit
27497542,DESIGNER,3,3,0,2,6.9,Weak Fit
62312955,DESIGNER,0,2,1,5,17.2,Weak Fit
22506245,DESIGNER,0,3,0,6,20.7,Weak Fit
28663949,DESIGNER,0,4,1,4,13.8,Weak Fit
39434376,DESIGNER,0,3,0,2,6.9,Weak Fit
13998435,DESIGNER,0,4,7,0,0.0,Weak Fit
30965258,DESIGNER,3,3,1,6,20.7,Weak Fit
18835363,DESIGNER,0,3,0,1,3.4,Weak Fit
26503829,DESIGNER,0,3,0,5,17.2,Weak Fit
18198627,DESIGNER,0,3,0,9,31.0,Moderate Fit
39252859,DESIGNER,19,3,0,2,6.9,Weak Fit
34051710,DESIGNER,0,0,0,4,13.8,Weak Fit
37664296,DESIGNER,0,4,0,10,34.5,Moderate Fit
21916744,DESIGNER,0,3,0,8,27.6,Weak Fit
15425154,DESIGNER,5,4,0,7,24.1,Weak Fit
24285142,DESIGNER,15,0,3,7,24.1,Weak Fit
24583187,DESIGNER,0,4,2,7,24.1,Weak Fit
29865476,DESIGNER,20,3,2,2,6.9,Weak Fit
25949631,DESIGNER,15,3,1,0,0.0,Weak Fit
21283733,DESIGNER,15,3,2,7,24.1,Weak Fit
51018476,DESIGNER,0,2,0,2,6.9,Weak Fit
13014900,DESIGNER,34,2,2,9,31.0,Moderate Fit
44145704,DESIGNER,0,4,1,3,10.3,Weak Fit
18795567,DESIGNER,20,4,2,6,20.7,Weak Fit
42384185,DESIGNER,0,4,0,7,24.1,Weak Fit
26942552,DESIGNER,0,3,0,1,3.4,Weak Fit
67645662,DESIGNER,10,1,0,2,6.9,Weak Fit
34511655,DESIGNER,0,3,0,2,6.9,Weak Fit
37695494,DESIGNER,0,3,5,2,6.9,Weak Fit
93301686,DESIGNER,0,4,4,1,3.4,Weak Fit
36856210,INFORMATION-TECHNOLOGY,37,2,0,3,11.5,Weak Fit
21780877,INFORMATION-TECHNOLOGY,0,1,1,2,7.7,Weak Fit
33241454,INFORMATION-TECHNOLOGY,5,2,7,3,11.5,Weak Fit
25990239,INFORMATION-TECHNOLOGY,0,5,0,2,7.7,Weak Fit
16899268,INFORMATION-TECHNOLOGY,0,0,3,3,11.5,Weak Fit
91635250,INFORMATION-TECHNOLOGY,0,0,0,3,11.5,Weak Fit
19796840,INFORMATION-TECHNOLOGY,0,2,5,5,19.2,Weak Fit
15651486,INFORMATION-TECHNOLOGY,0,2,1,1,3.8,Weak Fit
52246737,INFORMATION-TECHNOLOGY,5,2,3,1,3.8,Weak Fit
12045067,INFORMATION-TECHNOLOGY,0,4,0,2,7.7,Weak Fit
13836471,INFORMATION-TECHNOLOGY,0,0,2,1,3.8,Weak Fit
14789139,INFORMATION-TECHNOLOGY,25,4,0,4,15.4,Weak Fit
36434348,INFORMATION-TECHNOLOGY,10,4,0,5,19.2,Weak Fit
27536013,INFORMATION-TECHNOLOGY,10,4,0,4,15.4,Weak Fit
18301617,INFORMATION-TECHNOLOGY,0,3,4,6,23.1,Weak Fit
24913648,INFORMATION-TECHNOLOGY,0,3,2,2,7.7,Weak Fit
26801767,INFORMATION-TECHNOLOGY,30,2,5,3,11.5,Weak Fit
27372171,INFORMATION-TECHNOLOGY,10,4,3,2,7.7,Weak Fit
91697974,INFORMATION-TECHNOLOGY,5,4,6,6,23.1,Weak Fit
28672970,INFORMATION-TECHNOLOGY,20,3,2,4,15.4,Weak Fit
66832845,INFORMATION-TECHNOLOGY,0,0,0,2,7.7,Weak Fit
25207620,INFORMATION-TECHNOLOGY,20,2,6,2,7.7,Weak Fit
41344156,INFORMATION-TECHNOLOGY,18,3,0,4,15.4,Weak Fit
68460556,INFORMATION-TECHNOLOGY,0,0,1,2,7.7,Weak Fit
10247517,INFORMATION-TECHNOLOGY,0,4,2,5,19.2,Weak Fit
25959103,INFORMATION-TECHNOLOGY,0,4,3,2,7.7,Weak Fit
13385306,INFORMATION-TECHNOLOGY,0,4,0,3,11.5,Weak Fit
38753827,INFORMATION-TECHNOLOGY,0,2,5,3,11.5,Weak Fit
17681064,INFORMATION-TECHNOLOGY,15,4,3,3,11.5,Weak Fit
25905275,INFORMATION-TECHNOLOGY,10,4,0,5,19.2,Weak Fit
11580408,INFORMATION-TECHNOLOGY,0,3,13,3,11.5,Weak Fit
19201175,INFORMATION-TECHNOLOGY,0,0,0,2,7.7,Weak Fit
12635195,INFORMATION-TECHNOLOGY,0,4,3,4,15.4,Weak Fit
32959732,INFORMATION-TECHNOLOGY,3,4,0,5,19.2,Weak Fit
17688766,INFORMATION-TECHNOLOGY,0,0,0,3,11.5,Weak Fit
20024870,INFORMATION-TECHNOLOGY,0,4,0,3,11.5,Weak Fit
22450718,INFORMATION-TECHNOLOGY,5,3,2,3,11.5,Weak Fit
46260230,INFORMATION-TECHNOLOGY,10,2,2,6,23.1,Weak Fit
10839851,INFORMATION-TECHNOLOGY,0,0,0,0,0.0,Weak Fit
18752129,INFORMATION-TECHNOLOGY,5,4,3,0,0.0,Weak Fit
37764298,INFORMATION-TECHNOLOGY,0,0,5,4,15.4,Weak Fit
90867631,INFORMATION-TECHNOLOGY,22,4,11,6,23.1,Weak Fit
17641670,INFORMATION-TECHNOLOGY,0,2,23,6,23.1,Weak Fit
24889109,INFORMATION-TECHNOLOGY,3,4,7,3,11.5,Weak Fit
24083609,INFORMATION-TECHNOLOGY,0,2,1,2,7.7,Weak Fit
24038620,INFORMATION-TECHNOLOGY,0,4,1,4,15.4,Weak Fit
29051656,INFORMATION-TECHNOLOGY,6,3,0,5,19.2,Weak Fit
20237244,INFORMATION-TECHNOLOGY,16,3,3,1,3.8,Weak Fit
20001721,INFORMATION-TECHNOLOGY,0,3,0,2,7.7,Weak Fit
92069209,INFORMATION-TECHNOLOGY,0,0,1,3,11.5,Weak Fit
13405733,INFORMATION-TECHNOLOGY,13,4,3,9,34.6,Moderate Fit
28697203,INFORMATION-TECHNOLOGY,7,4,1,3,11.5,Weak Fit
28035460,INFORMATION-TECHNOLOGY,10,4,0,2,7.7,Weak Fit
21283365,INFORMATION-TECHNOLOGY,0,4,0,4,15.4,Weak Fit
17987433,INFORMATION-TECHNOLOGY,0,4,0,1,3.8,Weak Fit
10553553,INFORMATION-TECHNOLOGY,0,4,1,3,11.5,Weak Fit
15118506,INFORMATION-TECHNOLOGY,0,3,5,5,19.2,Weak Fit
18176523,INFORMATION-TECHNOLOGY,0,3,4,3,11.5,Weak Fit
24020470,INFORMATION-TECHNOLOGY,0,2,2,2,7.7,Weak Fit
70089206,INFORMATION-TECHNOLOGY,0,4,0,4,15.4,Weak Fit
27770859,INFORMATION-TECHNOLOGY,0,4,0,5,19.2,Weak Fit
57002858,INFORMATION-TECHNOLOGY,0,2,0,4,15.4,Weak Fit
13477922,INFORMATION-TECHNOLOGY,0,2,9,1,3.8,Weak Fit
28126340,INFORMATION-TECHNOLOGY,9,4,3,6,23.1,Weak Fit
37242217,INFORMATION-TECHNOLOGY,18,4,0,6,23.1,Weak Fit
10089434,INFORMATION-TECHNOLOGY,0,3,2,3,11.5,Weak Fit
11957080,INFORMATION-TECHNOLOGY,8,0,10,5,19.2,Weak Fit
35325329,INFORMATION-TECHNOLOGY,0,4,6,3,11.5,Weak Fit
10840430,INFORMATION-TECHNOLOGY,0,4,2,4,15.4,Weak Fit
64017585,INFORMATION-TECHNOLOGY,0,0,0,2,7.7,Weak Fit
19850482,INFORMATION-TECHNOLOGY,0,0,0,4,15.4,Weak Fit
52618188,INFORMATION-TECHNOLOGY,0,0,0,4,15.4,Weak Fit
28897981,INFORMATION-TECHNOLOGY,0,4,1,5,19.2,Weak Fit
51639418,INFORMATION-TECHNOLOGY,0,5,0,5,19.2,Weak Fit
20674668,INFORMATION-TECHNOLOGY,0,4,0,5,19.2,Weak Fit
23527321,INFORMATION-TECHNOLOGY,0,4,0,3,11.5,Weak Fit
18159866,INFORMATION-TECHNOLOGY,0,0,0,5,19.2,Weak Fit
22776912,INFORMATION-TECHNOLOGY,0,2,0,5,19.2,Weak Fit
23864648,INFORMATION-TECHNOLOGY,20,3,0,1,3.8,Weak Fit
18187364,INFORMATION-TECHNOLOGY,0,4,3,1,3.8,Weak Fit
83816738,INFORMATION-TECHNOLOGY,3,4,0,14,53.8,Moderate Fit
20824105,INFORMATION-TECHNOLOGY,0,4,6,3,11.5,Weak Fit
33381211,INFORMATION-TECHNOLOGY,20,4,0,5,19.2,Weak Fit
16533554,INFORMATION-TECHNOLOGY,16,3,5,2,7.7,Weak Fit
20879311,INFORMATION-TECHNOLOGY,15,3,0,5,19.2,Weak Fit
31111279,INFORMATION-TECHNOLOGY,17,0,6,6,23.1,Weak Fit
17111768,INFORMATION-TECHNOLOGY,0,4,5,6,23.1,Weak Fit
11584809,INFORMATION-TECHNOLOGY,0,4,10,4,15.4,Weak Fit
20408458,INFORMATION-TECHNOLOGY,10,4,0,3,11.5,Weak Fit
91121135,INFORMATION-TECHNOLOGY,0,4,0,2,7.7,Weak Fit
24230851,INFORMATION-TECHNOLOGY,0,2,0,3,11.5,Weak Fit
40018190,INFORMATION-TECHNOLOGY,0,3,1,1,3.8,Weak Fit
16186411,INFORMATION-TECHNOLOGY,2,4,0,6,23.1,Weak Fit
29975124,INFORMATION-TECHNOLOGY,20,3,0,5,19.2,Weak Fit
26746496,INFORMATION-TECHNOLOGY,2,4,0,6,23.1,Weak Fit
89413122,INFORMATION-TECHNOLOGY,0,0,1,1,3.8,Weak Fit
12334140,INFORMATION-TECHNOLOGY,0,3,1,2,7.7,Weak Fit
10641230,INFORMATION-TECHNOLOGY,4,2,5,4,15.4,Weak Fit
10265057,INFORMATION-TECHNOLOGY,0,0,0,5,19.2,Weak Fit
30223363,INFORMATION-TECHNOLOGY,0,4,0,5,19.2,Weak Fit
15791766,INFORMATION-TECHNOLOGY,9,4,7,3,11.5,Weak Fit
29075857,INFORMATION-TECHNOLOGY,0,4,1,6,23.1,Weak Fit
12763627,INFORMATION-TECHNOLOGY,0,4,1,6,23.1,Weak Fit
39718499,INFORMATION-TECHNOLOGY,0,3,0,3,11.5,Weak Fit
27058381,INFORMATION-TECHNOLOGY,7,0,1,3,11.5,Weak Fit
25857360,INFORMATION-TECHNOLOGY,14,2,0,2,7.7,Weak Fit
26768723,INFORMATION-TECHNOLOGY,0,3,0,0,0.0,Weak Fit
31243710,INFORMATION-TECHNOLOGY,0,2,4,4,15.4,Weak Fit
15297298,INFORMATION-TECHNOLOGY,0,4,6,4,15.4,Weak Fit
27295996,INFORMATION-TECHNOLOGY,0,3,1,4,15.4,Weak Fit
39413067,INFORMATION-TECHNOLOGY,0,2,0,5,19.2,Weak Fit
48037995,INFORMATION-TECHNOLOGY,0,4,1,2,7.7,Weak Fit
15802627,INFORMATION-TECHNOLOGY,0,3,6,1,3.8,Weak Fit
51363762,INFORMATION-TECHNOLOGY,0,3,8,4,15.4,Weak Fit
18067556,INFORMATION-TECHNOLOGY,0,4,1,6,23.1,Weak Fit
27485716,INFORMATION-TECHNOLOGY,0,3,2,4,15.4,Weak Fit
26480367,INFORMATION-TECHNOLOGY,0,3,1,3,11.5,Weak Fit
81761658,INFORMATION-TECHNOLOGY,0,3,0,4,15.4,Weak Fit
79541391,INFORMATION-TECHNOLOGY,0,3,4,2,7.7,Weak Fit
23666211,INFORMATION-TECHNOLOGY,10,4,1,1,3.8,Weak Fit
12467531,TEACHER,0,4,0,3,60.0,Strong Fit
19918523,TEACHER,0,4,0,3,60.0,Strong Fit
62184086,TEACHER,0,4,0,3,60.0,Strong Fit
28063132,TEACHER,0,3,0,2,40.0,Moderate Fit
29797594,TEACHER,0,3,0,1,20.0,Weak Fit
22408666,TEACHER,4,3,8,1,20.0,Weak Fit
13087952,TEACHER,0,0,7,3,60.0,Strong Fit
15850434,TEACHER,0,3,4,2,40.0,Moderate Fit
28772892,TEACHER,0,4,1,3,60.0,Strong Fit
33704389,TEACHER,0,3,3,2,40.0,Moderate Fit
16210888,TEACHER,0,4,2,2,40.0,Moderate Fit
38750659,TEACHER,2,4,0,2,40.0,Moderate Fit
90363254,TEACHER,5,4,0,1,20.0,Weak Fit
66906212,TEACHER,0,3,1,1,20.0,Weak Fit
34745915,TEACHER,0,3,0,0,0.0,Weak Fit
34689720,TEACHER,11,4,0,1,20.0,Weak Fit
48547319,TEACHER,0,2,3,1,20.0,Weak Fit
19464810,TEACHER,10,3,0,1,20.0,Weak Fit
28086303,TEACHER,0,4,2,1,20.0,Weak Fit
13855004,TEACHER,0,4,3,2,40.0,Moderate Fit
35421497,TEACHER,0,3,1,2,40.0,Moderate Fit
69005326,TEACHER,0,1,4,1,20.0,Weak Fit
18001081,TEACHER,0,4,1,1,20.0,Weak Fit
14958913,TEACHER,0,0,1,1,20.0,Weak Fit
13296856,TEACHER,9,4,5,3,60.0,Strong Fit
63391085,TEACHER,0,4,1,3,60.0,Strong Fit
23939133,TEACHER,5,3,2,0,0.0,Weak Fit
96547039,TEACHER,0,2,2,1,20.0,Weak Fit
22807104,TEACHER,5,4,1,3,60.0,Strong Fit
23628651,TEACHER,5,3,0,4,80.0,Strong Fit
29486525,TEACHER,5,3,1,2,40.0,Moderate Fit
22510753,TEACHER,0,0,0,4,80.0,Strong Fit
21773106,TEACHER,7,4,4,3,60.0,Strong Fit
34465087,TEACHER,15,2,2,1,20.0,Weak Fit
24791126,TEACHER,0,4,0,0,0.0,Weak Fit
15899269,TEACHER,0,4,0,0,0.0,Weak Fit
37402097,TEACHER,0,1,1,2,40.0,Moderate Fit
36206485,TEACHER,0,3,1,3,60.0,Strong Fit
36569713,TEACHER,20,4,0,2,40.0,Moderate Fit
28013287,TEACHER,0,3,3,2,40.0,Moderate Fit
29267293,TEACHER,0,3,2,1,20.0,Weak Fit
45286020,TEACHER,19,4,2,1,20.0,Weak Fit
13330982,TEACHER,0,4,1,2,40.0,Moderate Fit
22551979,TEACHER,0,3,0,3,60.0,Strong Fit
29639533,TEACHER,10,4,1,2,40.0,Moderate Fit
49285644,TEACHER,0,4,0,3,60.0,Strong Fit
16270906,TEACHER,0,3,0,2,40.0,Moderate Fit
27531694,TEACHER,10,4,4,2,40.0,Moderate Fit
74816727,TEACHER,0,3,0,2,40.0,Moderate Fit
23398843,TEACHER,10,2,2,3,60.0,Strong Fit
31552617,TEACHER,0,4,2,2,40.0,Moderate Fit
19556300,TEACHER,9,3,1,1,20.0,Weak Fit
66683238,TEACHER,0,4,2,2,40.0,Moderate Fit
17311685,TEACHER,0,0,1,2,40.0,Moderate Fit
17481570,TEACHER,0,4,3,2,40.0,Moderate Fit
22884757,TEACHER,0,3,2,3,60.0,Strong Fit
58708773,TEACHER,0,2,0,0,0.0,Weak Fit
10527994,TEACHER,0,3,0,1,20.0,Weak Fit
69532425,TEACHER,0,3,2,1,20.0,Weak Fit
20399718,TEACHER,0,4,0,2,40.0,Moderate Fit
19302310,TEACHER,0,3,0,1,20.0,Weak Fit
51209395,TEACHER,0,2,0,3,60.0,Strong Fit
22632070,TEACHER,25,4,0,0,0.0,Weak Fit
22056333,TEACHER,0,2,5,0,0.0,Weak Fit
11336022,TEACHER,0,2,0,2,40.0,Moderate Fit
11616482,TEACHER,14,4,0,2,40.0,Moderate Fit
34033933,TEACHER,0,3,0,2,40.0,Moderate Fit
21531811,TEACHER,0,2,0,0,0.0,Weak Fit
20626794,TEACHER,0,2,1,1,20.0,Weak Fit
58665241,TEACHER,0,4,3,1,20.0,Weak Fit
37660306,TEACHER,0,3,3,1,20.0,Weak Fit
13583538,TEACHER,3,2,1,2,40.0,Moderate Fit
20230207,TEACHER,11,4,1,1,20.0,Weak Fit
28642819,TEACHER,12,3,2,3,60.0,Strong Fit
16820422,TEACHER,0,4,0,0,0.0,Weak Fit
29930479,TEACHER,0,4,5,1,20.0,Weak Fit
25588694,TEACHER,12,4,6,0,0.0,Weak Fit
86597425,TEACHER,0,3,1,2,40.0,Moderate Fit
10909720,TEACHER,0,4,1,0,0.0,Weak Fit
28933005,TEACHER,0,3,1,1,20.0,Weak Fit
53129155,TEACHER,0,3,2,3,60.0,Strong Fit
11943065,TEACHER,0,4,5,0,0.0,Weak Fit
45987048,TEACHER,0,3,0,2,40.0,Moderate Fit
99244405,TEACHER,0,4,0,3,60.0,Strong Fit
32067700,TEACHER,0,3,0,1,20.0,Weak Fit
27126818,TEACHER,0,4,2,4,80.0,Strong Fit
19786924,TEACHER,25,2,6,1,20.0,Weak Fit
70892619,TEACHER,0,3,4,0,0.0,Weak Fit
25729119,TEACHER,0,4,1,1,20.0,Weak Fit
58105060,TEACHER,0,4,0,1,20.0,Weak Fit
12587973,TEACHER,8,3,1,3,60.0,Strong Fit
21611212,TEACHER,7,1,2,0,0.0,Weak Fit
21550454,TEACHER,16,4,0,2,40.0,Moderate Fit
86322251,TEACHER,15,4,1,2,40.0,Moderate Fit
22968380,TEACHER,0,4,0,3,60.0,Strong Fit
10504237,TEACHER,0,3,2,0,0.0,Weak Fit
24240349,TEACHER,16,4,0,3,60.0,Strong Fit
20478831,TEACHER,0,4,0,2,40.0,Moderate Fit
79663360,TEACHER,0,4,0,3,60.0,Strong Fit
76196367,TEACHER,20,4,0,0,0.0,Weak Fit
27524018,TEACHER,0,4,0,0,0.0,Weak Fit
27798860,TEACHER,10,4,1,4,80.0,Strong Fit
